"COUNTY","SCHOOL","school_code"
"MERCED","FLOYD A SCHELBY",6068498
"ORANGE","FANNING (WILLIAM E) E",6068571
"ORANGE","VIEJO ELEMENTARY",6068589
"ORANGE","MOIOLA (FRED) ELEM",6068597
"ORANGE","OKA  - ISOJIRO -  ELEMENTARY",6068605
"ORANGE","CORDILLERA ELEMENTARY",6068639
"ORANGE","TURTLE ROCK ELEM",6068647
"SACRAMENTO","CAMBRIDGE HEIGHTS ELEMENTARY",6068670
"FRESNO","EATON ELEM",6068704
"SAN BERNARDINO","CYPRESS ELEM",6068761
"LOS ANGELES","ARMSTRONG ELEMENTARY",6068787
"LOS ANGELES","LOMA ELEM",6068795
"LOS ANGELES","VALINDA SCHOOL OF ACADEMICS",6068811
"LOS ANGELES","HIGHLANDS ELEMENTARY",6068860
"SANTA BARBARA","MIGUELITO ELEM",6068902
"SANTA CLARA","BLOSSOM VALLEY ELEM",6068936
"SAN DIEGO","AVOCADO ELEM",6069082
"SAN DIEGO","JUAREZ - LINCOLN ELEM",6069090
"SAN DIEGO","E G GARRISON ELEMENTARY",6069108
"SAN DIEGO","MIRAMAR RANCH ELEM",6069116
"SAN DIEGO","CASITA ELEM",6069124
"KINGS","LEMOORE ELEMENTARY",6069140
"LOS ANGELES","BERENECE CARLSON HOME HOSPITAL",6069157
"MERCED","MERCED COUNTY SPECIAL EDUCATION",6069199
"SANTA CLARA","RF KENNEDY SCHOOL",6069201
"RIVERSIDE","RIVERSIDE COUNTY SPECIAL EDUCATION",6069207
"SAN JOAQUIN","SPECIAL ED PRGMS",6069215
"SANTA BARBARA","SPECIAL EDUCATION",6069223
"VENTURA","VENTURA COUNTY SPECIAL EDUCATION",6069231
"YUBA","SPECIAL EDUCATION",6069249
"BUTTE","MESA VISTA SPECIAL ED",6069256
"IMPERIAL","SPECIAL EDUCATION",6069272
"KINGS","KINGS COUNTY SPECIAL EDUCATION",6069298
"PLACER","PLACER COUNTY SPECIAL EDUCATION",6069322
"SAN BERNARDINO","SAN BERNARDINO COUNTY SPECIAL EDUCATION",6069348
"SAN MATEO","SPECIAL ED CLASSES /",6069363
"SANTA CLARA","SPECIAL EDUCATION",6069371
"SHASTA","SPECIAL EDUCATION",6069389
"SANTA CRUZ","SPECIAL EDUCATION (CO",6069397
"SISKIYOU","SPECIAL EDUCATION (CO",6069405
"SONOMA","S D C'S",6069413
"TULARE","TULARE COUNTY OFFICE",6069439
"SUTTER","SUTTER COUNTY SPECIAL EDUCATION",6069454
"EL DORADO","SPECIAL EDUCATION",6069470
"FRESNO","FRESNO COUNTY SPECIAL EDUCATION LOCAL PLAN",6069488
"KERN","KERN COUNTY SPECIAL EDUCATION",6069496
"MARIN","MARIN COUNTY SPECIAL EDUCATION",6069504
"MONTEREY","SPECIAL ED PGMS",6069512
"SACRAMENTO","SPECIAL EDUCATION",6069520
"SOLANO","SPECIAL EDUCATION",6069538
"STANISLAUS","SPECIAL EDUCATION",6069546
"ORANGE","ORANGE COUNTY SPECIAL EDUCATION",6069553
"LOS ANGELES","SUNSET ORTHOPEDIC HNC",6069710
"INYO","ELM STREET ELEMENTARY",6070783
"SAN DIEGO","LOS ALTOS ELEM",6070825
"SAN DIEGO","MURDOCK ELEM",6070833
"SAN DIEGO","LOS PENASQUITOS ELEM",6070841
"SAN DIEGO","WESTWOOD ELEM",6070858
"SAN DIEGO","SOLANA VISTA ELEM",6070882
"SAN DIEGO","PACIFICA ELEM",6070916
"CONTRA COSTA","GARIN ELEMENTARY",6070981
"CONTRA COSTA","SEAVIEW ELEM",6070999
"CONTRA COSTA","WALT DISNEY ELEM",6071039
"ORANGE","GOLDEN VIEW ELEMENTARY",6071104
"ORANGE","LINDA VISTA ELEM",6071112
"ORANGE","NOHL CANYON ELEMENTARY",6071120
"ORANGE","RIVERDALE ELEM",6071138
"ORANGE","FAIRMONT ELEM",6071146
"ORANGE","DEL CERRO ELEMENTARY",6071153
"ORANGE","TAFT ELEM & DHH",6071195
"VENTURA","WESTLAKE ELEM",6071286
"SOLANO","WIDEMANN ELEM",6071302
"SACRAMENTO","SUSAN B ANTHONY ELEMENTARY",6071336
"LOS ANGELES","JUAREZ ELEM",6071351
"LOS ANGELES","BRAGG ELEMENTARY",6071369
"LOS ANGELES","CASTLEBAY LANE ELEM",6071435
"LOS ANGELES","ROBERT F KENNEDY ELEMENTARY",6071443
"LOS ANGELES","WEST VALLEY SP ED CTR",6071468
"SANTA CLARA","LAURELWOOD ELEM",6071534
"SANTA CLARA","STONEGATE ELEM",6071542
"STANISLAUS","COLEMAN F BROWN ELEMENTARY",6071583
"ALAMEDA","ARROYO MOCHP ELEM",6071674
"LOS ANGELES","VALLEY VIEW",6071682
"LOS ANGELES","EL CAMINO SCH & PAU",6071740
"LOS ANGELES","LINCOLN PAU",6071799
"LOS ANGELES","LARSON PAU",6071831
"ALAMEDA","ARROYO SECO ELEM",6071906
"SAN DIEGO","MASON ELEM",6071914
"SAN FRANCISCO","BUENA VISTA ANNEX",6072094
"SONOMA","MIWOK VALLEY ELEM",6072136
"SANTA CLARA","SAKAMOTO ELEMENTARY",6072144
"SANTA CLARA","DEL ROBLE ELEM",6072151
"SANTA CLARA","SAN ANSELMO ELEM",6072169
"ALAMEDA","MARTIN LUTHER KING, JR ELEMENTARY",6072235
"CONTRA COSTA","SPECIAL ED - CENTRAL CO",6077168
"MADERA","GOULD EDUCATIONAL CENTER",6077200
