"COUNTY","SCHOOL","school_code"
"CONTRA COSTA","STRANDWOOD ELEM",6004311
"CONTRA COSTA","SUN TERRACE ELEMENTARY",6004329
"CONTRA COSTA","VALHALLA ELEM",6004337
"CONTRA COSTA","VALLE VERDE ELEMENTARY",6004345
"CONTRA COSTA","WALNUT ACRES ELEM",6004360
"CONTRA COSTA","WESTWOOD ELEMENTARY",6004378
"CONTRA COSTA","WOODSIDE ELEM",6004394
"CONTRA COSTA","WREN AVENUE ELEMENTARY",6004402
"CONTRA COSTA","YGNACIO VALLEY ELEMENTARY",6004410
"CONTRA COSTA","OAKLEY ELEMENTARY",6004428
"CONTRA COSTA","DEL REY ELEM",6004444
"CONTRA COSTA","GLORIETTA ELEMENTARY",6004451
"CONTRA COSTA","SLEEPY HOLLOW ELEM",6004501
"CONTRA COSTA","HEIGHTS ELEMENTARY",6004527
"CONTRA COSTA","HIGHLANDS ELEMENTARY",6004535
"CONTRA COSTA","LOS MEDANOS ELEMENTARY",6004543
"CONTRA COSTA","PARKSIDE ELEMENTARY",6004568
"CONTRA COSTA","WILLOW COVE ELEMENTARY",6004576
"CONTRA COSTA","BAYVIEW ELEM",6004600
"CONTRA COSTA","CASTRO ELEM",6004642
"CONTRA COSTA","COLLINS ELEM",6004659
"CONTRA COSTA","CORONADO ELEMENTARY",6004667
"CONTRA COSTA","DOVER ELEM",6004691
"CONTRA COSTA","EL SOBRANTE ELEM",6004725
"CONTRA COSTA","ELLERHORST ELEM",6004733
"CONTRA COSTA","HIGHLAND ELEMENTARY",6004741
"CONTRA COSTA","FAIRMONT ELEMENTARY",6004758
"CONTRA COSTA","FORD ELEMENTARY",6004766
"CONTRA COSTA","GRANT ELEM",6004774
"CONTRA COSTA","HARDING ELEMENTARY",6004782
"CONTRA COSTA","KENSINGTON ELEM",6004808
"CONTRA COSTA","LAKE ELEMENTARY",6004824
"CONTRA COSTA","LINCOLN ELEM",6004832
"CONTRA COSTA","MADERA ELEMENTARY",6004840
"CONTRA COSTA","MIRA VISTA ELEM",6004857
"CONTRA COSTA","MONTALVIN MANOR ELEMENTARY",6004865
"CONTRA COSTA","MURPHY ELEM",6004873
"CONTRA COSTA","NYSTROM ELEMENTARY",6004881
"CONTRA COSTA","OLINDA ELEM",6004899
"CONTRA COSTA","PERES ELEMENTARY",6004907
"CONTRA COSTA","KING ELEM",6004915
"CONTRA COSTA","RIVERSIDE ELEMENTARY",6004931
"CONTRA COSTA","SHANNON ELEM",6004956
"CONTRA COSTA","SHELDON ELEMENTARY",6004964
"CONTRA COSTA","STEGE ELEM",6004972
"CONTRA COSTA","STEWART ELEMENTARY",6004980
"CONTRA COSTA","TARA HILLS ELEM",6004998
"CONTRA COSTA","VALLEY VIEW ELEMENTARY",6005003
"CONTRA COSTA","VERDE ELEM",6005011
"CONTRA COSTA","WASHINGTON ELEMENTARY",6005037
"CONTRA COSTA","WILSON ELEM",6005045
"CONTRA COSTA","ALAMO ELEMENTARY",6005060
"CONTRA COSTA","COUNTRY CLUB ELEM",6005086
"CONTRA COSTA","GREEN VALLEY ELEMENTARY",6005094
"CONTRA COSTA","BALDWIN (JOHN) ELEM",6005102
"CONTRA COSTA","MONTAIR ELEMENTARY",6005128
"CONTRA COSTA","RANCHO ROMERO ELEM",6005136
"CONTRA COSTA","VISTA GRANDE ELEMENTARY",6005151
"CONTRA COSTA","BUENA VISTA ELEMENTARY",6005169
"CONTRA COSTA","INDIAN VALLEY ELEMENTARY",6005177
"CONTRA COSTA","MURWOOD ELEM",6005185
"CONTRA COSTA","PARKMEAD ELEMENTARY",6005193
"CONTRA COSTA","WALNUT HEIGHTS ELEM",6005243
"CONTRA COSTA","LUCILE GLASS MAVEY",6005359
"DEL NORTE","MAXWELL (BESS) ELEM",6005375
"DEL NORTE","JOE HAMILTON ELEMENTARY",6005391
"DEL NORTE","MARGARET KEATING ELEMENTARY",6005417
"ALAMEDA","BLACOW ELEM",6005419
"DEL NORTE","MOUNTAIN ELEM",6005425
"DEL NORTE","PINE GROVE ELEM",6005433
"DEL NORTE","REDWOOD ELEMENTARY",6005441
"DEL NORTE","SMITH RIVER ELEM",6005458
"EL DORADO","BUCKEYE ELEMENTARY",6005466
"EL DORADO","BROOK (WILLIAM) ELEM",6005474
"EL DORADO","CAMINO ELEMENTARY",6005482
"EL DORADO","GEORGETOWN ELEM",6005490
"EL DORADO","GOLD OAK ELEMENTARY",6005508
"EL DORADO","AL TAHOE ELEM",6005532
"EL DORADO","BIJOU COMMUNITY SCHOO",6005540
"EL DORADO","MEYERS ELEM",6005557
"EL DORADO","TAHOE VALLEY ELEM",6005573
"EL DORADO","LATROBE ELEMENTARY",6005581
"EL DORADO","BROWN (CHARLES F )ELE",6005599
"EL DORADO","NORTHSIDE ELEM",6005623
"EL DORADO","PIONEER ELEMENTARY",6005631
"EL DORADO","SCHNELL (LOUISIANA) E",6005656
"EL DORADO","SIERRA ELEMENTARY",6005664
"EL DORADO","PINEWOOD ELEM",6005680
"EL DORADO","JACKSON ELEMENTARY",6005706
"EL DORADO","RESCUE ELEM",6005714
"FRESNO","ALVINA ELEMENTARY CHARTER",6005730
"FRESNO","AMERICAN UNION ELEM",6005748
"FRESNO","AUBERRY ELEM",6005755
"FRESNO","BIG CREEK ELEM",6005763
"FRESNO","BIOLA - PERSHING ELEM",6005789
"FRESNO","BURREL ELEMENTARY",6005797
"FRESNO","CANTUA ELEM",6005805
"FRESNO","CARUTHERS ELEMENTARY",6005813
"FRESNO","CLAY ELEM",6005839
"FRESNO","COLE ELEMENTARY",6005847
"FRESNO","DRY CREEK ELEMENTARY",6005854
"FRESNO","FORT WASHINGTON ELEMENTARY",6005862
"FRESNO","JEFFERSON ELEM",6005870
"FRESNO","NELSON ELEMENTARY",6005888
"FRESNO","SIERRA VISTA ELEM",6005904
"FRESNO","TARPEY ELEMENTARY",6005912
"FRESNO","TEMPERANCE - KUTNER ELE",6005920
"FRESNO","WELDON ELEMENTARY",6005938
"FRESNO","HURON ELEM",6005961
"FRESNO","HAZEL M BAILEY PRIMARY",6006001
"FRESNO","MALAGA ELEMENTARY",6006043
"FRESNO","MARSHALL ELEMENTARY",6006050
"FRESNO","ADDAMS ELEMENTARY",6006068
"FRESNO","AYNESWORTH ELEMENTARY",6006076
"FRESNO","BIRNEY ELEM",6006092
"FRESNO","BULLARD TALENT PROJECT",6006100
"FRESNO","BURROUGHS ELEM",6006118
"FRESNO","CALWA ELEMENTARY",6006126
"FRESNO","CENTENNIAL ELEMENTARY",6006142
"FRESNO","COLUMBIA ELEMENTARY",6006159
"FRESNO","DAILEY ELEM",6006175
"FRESNO","DEL MAR ELEM",6006183
"FRESNO","EASTERBY ELEMENTARY",6006191
"FRESNO","ERICSON ELEM",6006217
"FRESNO","EWING ELEMENTARY",6006225
"FRESNO","FIGARDEN ELEM",6006233
"FRESNO","FREMONT ELEMENTARY",6006258
"FRESNO","GIBSON ELEM",6006266
"FRESNO","HEATON ELEMENTARY",6006274
"FRESNO","HOLLAND ELEM",6006282
"FRESNO","HOMAN ELEMENTARY",6006290
"FRESNO","JACKSON ELEM",6006308
"FRESNO","JEFFERSON ELEMENTARY",6006316
"FRESNO","KIRK ELEM",6006324
"FRESNO","KRATT ELEMENTARY",6006332
"FRESNO","LANE ELEM",6006357
"FRESNO","LINCOLN ELEMENTARY",6006365
"FRESNO","LOWELL ELEM",6006373
"FRESNO","MALLOCH ELEMENTARY",6006381
"FRESNO","MAYFAIR ELEM",6006407
"FRESNO","MUIR ELEMENTARY",6006415
"FRESNO","NORSEMAN ELEM",6006423
"FRESNO","POWERS - GINSBURG ELEMENTARY",6006431
"FRESNO","PYLE ELEM",6006449
"FRESNO","ROBINSON ELEMENTARY",6006456
"FRESNO","ROEDING ELEM",6006464
"FRESNO","ROWELL ELEMENTARY",6006472
"FRESNO","THOMAS ELEM",6006514
"FRESNO","TURNER ELEMENTARY",6006522
"FRESNO","VIKING ELEMENTARY",6006530
"FRESNO","VINLAND ELEMENTARY",6006548
"FRESNO","WEBSTER ELEM",6006555
"FRESNO","WILSON ELEMENTARY",6006563
"FRESNO","WINCHELL ELEM",6006571
"FRESNO","WISHON ELEMENTARY",6006589
"FRESNO","WOLTERS ELEM",6006597
"FRESNO","WEST FRESNO ELEMENTARY",6006605
"FRESNO","HELM ELEM",6006647
"FRESNO","HERNDON - BARSTOW ELEMENTARY",6006654
"FRESNO","HOUGHTON - KEARNEY ELEMENTARY",6006662
"FRESNO","KERMAN - FLOYD ELEM",6006688
"FRESNO","WASHINGTON ELEMENTARY",6006720
"FRESNO","ALTA ELEMENTARY",6006738
"FRESNO","DUNLAP ELEMENTARY",6006753
"FRESNO","JEFFERSON ELEMENTARY",6006787
"FRESNO","MCCORD ELEMENTARY",6006795
"FRESNO","LINCOLN ELEM",6006803
"FRESNO","MIRAMONTE ELEM",6006811
"FRESNO","RIVERVIEW ELEM",6006837
"FRESNO","SHERIDAN ELEMENTARY",6006845
"FRESNO","WASHINGTON",6006878
"FRESNO","LATON ELEMENTARY",6006902
"FRESNO","MADISON ELEM",6006910
"FRESNO","MCKINLEY ELEMENTARY",6006944
"FRESNO","ROOSEVELT ELEM",6006951
"FRESNO","WASHINGTON ELEMENTARY",6006985
"FRESNO","MONROE ELEM",6006993
"FRESNO","ORANGE CENTER ELEMENTARY",6007009
"MERCED","ORO LOMA ELEM",6007017
"FRESNO","PACIFIC UNION ELEM",6007025
"FRESNO","MATHEW J BRLETIC ELEMENTARY",6007033
"FRESNO","JOHN C MARTINEZ",6007041
"FRESNO","CESAR E CHAVEZ ELEMENTARY",6007058
"FRESNO","PINE RIDGE",6007066
"FRESNO","RAISIN CITY ELEMENTARY",6007074
"FRESNO","FIPPS RIVERDALE PRIMA",6007090
"FRESNO","CENTERVILLE ELEMENTARY",6007108
"FRESNO","DEL REY ELEM",6007116
"FRESNO","FAIRMONT ELEMENTARY",6007124
"FRESNO","JACKSON ELEMENTARY",6007132
"FRESNO","JEFFERSON ELEMENTARY",6007140
"FRESNO","WASH (JOHN S) ELEM",6007157
"FRESNO","LINCOLN ELEMENTARY",6007165
"FRESNO","LONE STAR ELEM",6007173
"FRESNO","MADISON ELEMENTARY",6007181
"FRESNO","WILSON ELEM",6007215
"FRESNO","SAN JOAQUIN ELEMENTARY",6007223
"FRESNO","JACKSON (ANDREW) ELEM",6007231
"FRESNO","JACKSON (ANDREW) ELEM",6007251
"FRESNO","ERIC WHITE ELEMENTARY",6007256
"FRESNO","GEORGE WASHINGTON ELEMENTARY",6007272
"FRESNO","INDIANOLA ELEM",6007280
"FRESNO","JAMES GARFIELD ELEMENTARY",6007298
"FRESNO","THEODORE ROOSEVELT ELEMENTARY",6007314
"FRESNO","TERRY ELEMENTARY",6007322
"FRESNO","WILSON (WOODROW) ELEM",6007348
"FRESNO","SIERRA ELEM",6007363
"FRESNO","SUN EMPIRE ELEM",6007371
"FRESNO","TEAGUE ELEMENTARY",6007389
"FRESNO","TRANQUILLITY ELEM",6007397
"FRESNO","WASHINGTON COLONY ELEMENTARY",6007405
"FRESNO","WEST PARK ELEM",6007413
"FRESNO","WESTSIDE ELEMENTARY",6007421
"GLENN","CAPAY JOINT UNION ELEM",6007439
"GLENN","HAMILTON ELEMENTARY",6007447
"GLENN","LAKE ELEM",6007454
"GLENN","MILL STREET ELEMENTARY",6007488
"GLENN","PLAZA ELEM",6007504
"GLENN","ELK CREEK ELEMENTARY",6007546
"GLENN","MURDOCK ELEM",6007603
"HUMBOLDT","BLOOMFIELD ELEM",6007637
"HUMBOLDT","SUNSET ELEM",6007678
"HUMBOLDT","BIG LAGOON ELEM",6007686
"HUMBOLDT","BLUE LAKE ELEM",6007694
"HUMBOLDT","CUDDEBACK ELEMENTARY",6007728
"HUMBOLDT","RIDGEWOOD",6007744
"HUMBOLDT","ALICE BIRNEY ELEMENTARY",6007751
"HUMBOLDT","GRANT ELEM",6007777
"HUMBOLDT","JEFFERSON ELEM",6007785
"HUMBOLDT","LAFAYETTE ELEM",6007793
"HUMBOLDT","LINCOLN ELEM",6007801
"HUMBOLDT","MARSHALL ELEM",6007819
"HUMBOLDT","WASHINGTON ELEM",6007827
"HUMBOLDT","WORTHINGTON ELEM",6007835
"HUMBOLDT","FERNDALE ELEM",6007843
"HUMBOLDT","FIELDBROOK ELEMENTARY",6007850
"HUMBOLDT","SOUTH FORTUNA ELEMENTARY",6007876
"HUMBOLDT","FRESHWATER ELEMENTARY",6007884
"HUMBOLDT","GARFIELD ELEMENTARY",6007892
"HUMBOLDT","HYDESVILLE ELEMENTARY",6007942
"HUMBOLDT","JACOBY CREEK ELEM",6007959
"HUMBOLDT","HOOPA VALLEY ELEMENTARY",6007967
"HUMBOLDT","ORLEANS ELEMENTARY",6007975
"HUMBOLDT","TRINITY VALLEY ELEMENTARY",6007991
"HUMBOLDT","LOLETA ELEM",6008023
"HUMBOLDT","DOW'S PRAIRIE ELEMENTARY",6008056
"HUMBOLDT","MORRIS ELEM",6008072
"HUMBOLDT","ORICK ELEM",6008080
"HUMBOLDT","PACIFIC UNION ELEM",6008098
"HUMBOLDT","PENINSULA UNION ELEM",6008106
"HUMBOLDT","RIO DELL ELEM",6008114
"HUMBOLDT","NORMAN G AMBROSINI ELEMENTARY",6008130
"HUMBOLDT","MURPHY (STANWOOD A) E",6008155
"HUMBOLDT","PINE HILL ELEMENTARY",6008163
"HUMBOLDT","SOUTH BAY ELEM",6008171
"HUMBOLDT","REDWAY ELEM",6008213
"HUMBOLDT","AGNES J JOHNSON ELEMENTARY",6008221
"HUMBOLDT","WHITETHORN ELEM",6008239
"HUMBOLDT","TRINIDAD ELEMENTARY",6008247
"IMPERIAL","HIDALGO ELEM",6008270
"IMPERIAL","J W OAKLEY ELEMENTARY",6008288
"IMPERIAL","MYRON D WITTER ELEMENTARY",6008296
"IMPERIAL","PHIL D SWING ELEMENTARY",6008304
"IMPERIAL","DOOL ELEM",6008346
"IMPERIAL","JEFFERSON ELEMENTARY",6008361
"IMPERIAL","ROCKWOOD ELEM",6008379
"IMPERIAL","MAINS ELEMENTARY",6008387
"IMPERIAL","GRACE SMITH ELEM",6008403
"IMPERIAL","DE ANZA MAGNET",6008411
"IMPERIAL","DESERT GARDEN ELEM",6008429
"IMPERIAL","HARDING ELEMENTARY",6008437
"IMPERIAL","LINCOLN ELEM",6008452
"IMPERIAL","MARGARET HEDRICK ELEMENTARY",6008460
"IMPERIAL","MCKINLEY ELEM",6008478
"IMPERIAL","WASHINGTON ELEMENTARY",6008486
"IMPERIAL","HEBER ELEM",6008502
"IMPERIAL","EMMETT S FINLEY ELEMENTARY",6008510
"IMPERIAL","PINE ELEM",6008536
"IMPERIAL","BEN HULSE ELEMENTARY",6008551
"IMPERIAL","WESTSIDE ELEM",6008577
"IMPERIAL","MAGNOLIA ELEM",6008585
"IMPERIAL","MCCABE ELEMENTARY",6008593
"IMPERIAL","MEADOWS ELEMENTARY",6008619
"IMPERIAL","MULBERRY ELEMENTARY",6008627
"IMPERIAL","SAN PASQUAL VALLEY EL",6008635
"IMPERIAL","SEELEY ELEMENTARY",6008643
"IMPERIAL","WESTMORLAND ELEM",6008650
"INYO","BIG PINE ELEMENTARY",6008692
"INYO","LO - INYO ELEM",6008775
"INYO","OWENS VALLEY K - 12",6008791
"INYO","ROUND VALLEY ELEM",6008809
"KERN","SIERRA VISTA ELEMENTARY",6008833
"KERN","CAROLINE HARRIS ELEMENTARY",6008858
"KERN","CASA LOMA ELEM",6008866
"KERN","EVERGREEN ELEMENTARY",6008874
"KERN","COLLEGE HEIGHTS ELEM",6008882
"KERN","COLONEL HOWARD NICHOLS ELEMENTARY",6008890
"KERN","FRANK WEST ELEMENTARY",6008924
"KERN","FRANKLIN ELEMENTARY",6008932
"KERN","FREMONT ELEM",6008940
"KERN","HARDING ELEMENTARY",6008965
"KERN","HENRY EISSLER ELEMENTARY",6008973
"KERN","HORACE MANN ELEMENTARY",6008981
"KERN","HORT ELEM",6008999
"KERN","JEFFERSON ELEMENTARY",6009013
"KERN","LEO G PAULY ELEMENTARY",6009047
"KERN","LONGFELLOW ELEM",6009062
"KERN","MCKINLEY ELEMENTARY",6009070
"KERN","MOUNT VERNON ELEM",6009088
"KERN","MUNSEY ELEMENTARY",6009096
"KERN","NOBLE (MYRA A) ELEM",6009104
"KERN","PIONEER DRIVE ELEMENTARY",6009120
"KERN","BESSIE E OWENS PRIMARY",6009138
"KERN","ROOSEVELT ELEM",6009146
"KERN","VOORHIES ELEMENTARY",6009161
"KERN","WAYSIDE ELEM",6009187
"KERN","WILLIAM PENN ELEMENTARY",6009195
"KERN","WILLIAMS ELEM",6009203
"KERN","BEARDSLEY ELEMENTARY",6009211
"KERN","NORTH BEARDSLEY ELEM",6009237
"KERN","BELRIDGE ELEM",6009245
"KERN","BUENA VISTA ELEMENTARY",6009260
"KERN","BUTTONWILLOW ELEMENTARY",6009278
"KERN","PIERCE ELEMENTARY",6009294
"KERN","RICHMOND ELEM",6009328
"KERN","ALBANY PARK ELEMENTARY",6009344
"KERN","DEL VISTA MATH AND SCIENCE ACADEMY",6009369
"KERN","FREMONT ELEMENTARY",6009377
"KERN","TERRACE ELEMENTARY",6009393
"KERN","VALLE VISTA ELEM",6009401
"KERN","DI GIORGIO ELEMENTARY",6009419
"KERN","ORANGEWOOD ELEMENTARY",6009443
"KERN","ELK HILLS ELEMENTARY",6009450
"KERN","FRAZIER PARK ELEMENTARY",6009476
"KERN","VIRGINIA AVE ELEM",6009500
"KERN","GENERAL SHAFTER ELEMENTARY",6009534
"KERN","FAIRVIEW ELEM",6009559
"KERN","PLANTATION ELEMENTARY",6009583
"KERN","PLANZ ELEM",6009591
"KERN","INYOKERN ELEMENTARY",6009609
"KERN","LAS FLORES ELEM",6009625
"KERN","FALLER ELEMENTARY",6009633
"KERN","KERNVILLE SCHOOL",6009641
"KERN","WOODROW W WALLACE ELEMENTARY",6009658
"KERN","LAKESIDE ELEM",6009666
"KERN","ALICANTE AVENUE ELEMENTARY",6009674
"KERN","LAMONT ELEM",6009682
"KERN","MAPLE ELEMENTARY",6009732
"KERN","MARICOPA ELEM",6009740
"KERN","BROWNING ROAD ELEMENTARY",6009757
"KERN","KERN AVE ELEM",6009765
"KERN","MIDWAY ELEMENTARY",6009781
"KERN","MOJAVE ELEMENTARY",6009799
"KERN","MOJAVE ELEMENTARY SCH",6009807
"KERN","ROBERT P ULRICH ELEM",6009823
"KERN","BAILEY ELEM",6009831
"KERN","IRVING L BRANCH ELEM",6009880
"KERN","WEST BORON ELEMENTARY",6009906
"KERN","NORRIS ELEM",6009914
"KERN","AMY B SEIBERT ELEMENTARY",6009922
"KERN","PANAMA ELEM",6009948
"KERN","STINE ELEMENTARY",6009955
"KERN","POND ELEM",6009963
"KERN","REDWOOD ELEMENTARY",6009989
"KERN","SEMITROPIC ELEM",6010037
"KERN","ROSAMOND ELEMENTARY",6010045
"KERN","SOUTH FORK UNION ELEM",6010060
"KERN","HIGHLAND ELEMENTARY",6010078
"KERN","STANDARD ELEMENTARY",6010086
"KERN","WINGLAND ELEM",6010102
"KERN","CONLEY ELEMENTARY",6010110
"KERN","JEFFERSON ELEM",6010128
"KERN","PARKVIEW ELEMENTARY",6010144
"KERN","TAFT PRIMARY",6010169
"KERN","TOMPKINS ELEMENTARY",6010201
"KERN","WELLS ELEM",6010219
"KERN","VINELAND ELEM",6010235
"KERN","KARL F CLEMENS ELEMENTARY",6010243
"KERN","PALM AVENUE ELEMENTARY",6010250
"KINGS","ARMONA ELEMENTARY",6010276
"KINGS","AKERS ELEMENTARY",6010292
"KINGS","CENTRAL ELEMENTARY",6010300
"KINGS","NEUTRA ELEM",6010318
"KINGS","STRATFORD ELEMENTARY",6010326
"KINGS","BRET HARTE ELEMENTARY",6010334
"KINGS","DELTA VIEW ELEM",6010383
"KINGS","JEFFERSON",6010391
"KINGS","LEE RICHMOND ELEMENTARY",6010409
"KINGS","LINCOLN ELEM",6010417
"KINGS","MONROE ELEMENTARY",6010425
"KINGS","ROOSEVELT ELEM",6010433
"KINGS","ISLAND ELEMENTARY",6010466
"KINGS","KINGS RIVER - HARDWICK",6010474
"KINGS","KIT CARSON ELEMENTARY",6010482
"KINGS","GARDENSIDE ELEM",6010490
"KINGS","LAKESIDE ELEM",6010508
"KINGS","MEADOW LANE ELEMENTARY",6010532
"KINGS","PIONEER ELEMENTARY",6010557
"KINGS","AVENAL ELEMENTARY",6010565
"KINGS","KETTLEMAN CITY ELEM",6010573
"LAKE","KELSEYVILLE ELEMENTARY",6010607
"LAKE","BURNS VALLEY ELEM",6010615
"LAKE","EAST LAKE",6010623
"LAKE","LAKEPORT ELEM",6010631
"LAKE","LUCERNE ELEMENTARY",6010656
"LAKE","CANNON (MINNIE) ELEM",6010672
"LAKE","UPPER LAKE ELEMENTARY",6010680
"LASSEN","BIG VALLEY ELEMENTARY",6010698
"LASSEN","BIG VALLEY ELEMENTARY",6010706
"LASSEN","JANESVILLE ELEM",6010730
"LASSEN","JOHNSTONVILLE ELEMENTARY",6010748
"LASSEN","LONG VALLEY CHARTER",6010763
"LASSEN","RICHMOND ELEMENTARY",6010797
"LASSEN","SHAFFER ELEM",6010805
"LASSEN","MCKINLEY ELEMENTARY",6010821
"LASSEN","FLETCHER WALKER ELEM",6010847
"LOS ANGELES","ALOHA ELEMENTARY",6010862
"LOS ANGELES","CARVER ELEM",6010904
"LOS ANGELES","MELBOURNE  - ELLA P -  ELEMENTARY",6010912
"LOS ANGELES","HAWAIIAN GARDEN ELEM",6010920
"LOS ANGELES","KENNEDY  - JOHN F -  ELEMENTARY",6010938
"LOS ANGELES","NIEMES ELEM",6010946
"LOS ANGELES","BURBANK  - LUTHER -  ELEMENTARY",6010953
"LOS ANGELES","PALMS ELEM",6010961
"LOS ANGELES","FURGESON  - VENN W -  ELEMENTARY",6010979
"LOS ANGELES","WILLIAM F ELLIOTT ELEMENTARY",6010987
"LOS ANGELES","WILLOW ELEMENTARY",6010995
"LOS ANGELES","BRIGHTWOOD STREET ELEM",6011001
"LOS ANGELES","EMERY PARK ELEMENTARY",6011019
"LOS ANGELES","FREMONT ELEM",6011027
"LOS ANGELES","GARFIELD ELEMENTARY",6011035
"LOS ANGELES","GRANADA ELEM",6011043
"LOS ANGELES","MARGUERITA ELEMENTARY",6011050
"LOS ANGELES","BALDWIN (MARTHA) ELEM",6011068
"LOS ANGELES","MONTEREY HIGHLANDS ELEMENTARY",6011076
"LOS ANGELES","PARK ELEM",6011084
"LOS ANGELES","RAMONA ELEMENTARY",6011092
"LOS ANGELES","REPETTO ELEM",6011100
"LOS ANGELES","WILLIAM NORTHRUP ELEMENTARY",6011118
"LOS ANGELES","YNEZ ELEM",6011126
"LOS ANGELES","BALDWIN STOCKER ELEMENTARY",6011134
"LOS ANGELES","CAMINO GROVE ELEMENTARY",6011159
"LOS ANGELES","HIGHLAND OAKS ELEM",6011167
"LOS ANGELES","HOLLY AVENUE ELEMENTARY",6011175
"LOS ANGELES","HUGO REID ELEM",6011183
"LOS ANGELES","LONGLEY WAY ELEMENTARY",6011191
"LOS ANGELES","ELLINGTON (ALICE M) E",6011217
"LOS ANGELES","CHARLES H LEE ELEMENTARY",6011233
"LOS ANGELES","MURRAY (CLIFFORD D) E",6011241
"LOS ANGELES","GLADSTONE STREET ELEMENTARY",6011266
"LOS ANGELES","DALTON (HENRY) ELEM",6011274
"LOS ANGELES","LONGFELLOW ELEM",6011282
"LOS ANGELES","MAGNOLIA ELEMENTARY",6011290
"LOS ANGELES","MOUNTAIN VIEW ELEMENTARY",6011308
"LOS ANGELES","PARAMOUNT ELEM",6011316
"LOS ANGELES","VALLEYDALE ELEMENTARY",6011332
"LOS ANGELES","HODGE (VICTOR F) ELEM",6011340
"LOS ANGELES","W R POWELL ELEMENTARY",6011357
"LOS ANGELES","BURSCH ELEM",6011373
"LOS ANGELES","CENTRAL ELEMENTARY",6011381
"LOS ANGELES","DEANZA ELEM",6011407
"LOS ANGELES","ELWIN ELEMENTARY",6011415
"LOS ANGELES","FOSTER ELEM",6011423
"LOS ANGELES","ERNEST R GEDDES ELEMENTARY",6011431
"LOS ANGELES","KENMORE ELEM",6011449
"LOS ANGELES","MARGARET HEATH ELEMENTARY",6011464
"LOS ANGELES","PLEASANT VIEW ELEM",6011480
"LOS ANGELES","TRACY ELEMENTARY",6011498
"LOS ANGELES","VINELAND ELEMENTARY",6011506
"LOS ANGELES","WALNUT ELEMENTARY",6011514
"LOS ANGELES","DON JULIAN ELEM",6011530
"LOS ANGELES","J E VAN WIG ELEMENTARY",6011563
"LOS ANGELES","SUNKIST ELEM",6011571
"LOS ANGELES","ERWIN (THOMAS E) ELEM",6011589
"LOS ANGELES","BAXTER (ALBERT) ELEM",6011605
"LOS ANGELES","INTENSIVE LEARNING CENTER",6011613
"LOS ANGELES","ERNIE PYLE ELEMENTARY",6011621
"LOS ANGELES","ESTHER LINDSTROM ELEMENTARY",6011639
"LOS ANGELES","WOODRUFF",6011647
"LOS ANGELES","CRAIG WILLIAMS ELEMENTARY",6011654
"LOS ANGELES","LAS FLORES ELEM",6011662
"LOS ANGELES","RAMONA ELEMENTARY",6011696
"LOS ANGELES","STEPHEN FOSTER ELEMENTARY",6011704
"LOS ANGELES","JEFFERSON (THOMAS) EL",6011712
"LOS ANGELES","BEVERLY VISTA ELEMENTARY",6011746
"LOS ANGELES","EL RODEO ELEM",6011753
"LOS ANGELES","HAWTHORNE ELEMENTARY",6011761
"LOS ANGELES","MANN (HORACE) ELEM",6011779
"LOS ANGELES","ALLEN AVENUE ELEMENTARY",6011787
"LOS ANGELES","SHULL (ARMA J) ELEM",6011795
"LOS ANGELES","FRED EKSTRAND ELEMENTARY",6011803
"LOS ANGELES","GLADSTONE ELEM",6011811
"LOS ANGELES","GRACE MILLER ELEMENTARY",6011829
"LOS ANGELES","ROYNON (J MARION) ELE",6011837
"LOS ANGELES","LA VERNE HEIGHTS ELEMENTARY",6011845
"LOS ANGELES","DISNEY ELEM",6011878
"LOS ANGELES","THOMAS EDISON ELEMENTARY",6011886
"LOS ANGELES","RALPH EMERSON ELEMENTARY",6011894
"LOS ANGELES","BRET HARTE ELEMENTARY",6011910
"LOS ANGELES","JEFFERSON ELEM",6011928
"LOS ANGELES","WILLIAM MCKINLEY ELEMENTARY",6011951
"LOS ANGELES","MILLER ELEM",6011969
"LOS ANGELES","PROVIDENCIA ELEMENTARY",6011993
"LOS ANGELES","ROOSEVELT ELEM",6012009
"LOS ANGELES","R L STEVENSON ELEMENTARY",6012017
"LOS ANGELES","WASHINGTON ELEM",6012025
"LOS ANGELES","CASTAIC ELEMENTARY",6012033
"LOS ANGELES","BADILLO ELEM",6012041
"LOS ANGELES","CEDARGROVE ELEMENTARY",6012066
"LOS ANGELES","GLEN OAK ELEMENTARY",6012090
"LOS ANGELES","WASHINGTON ELEMENTARY",6012132
"LOS ANGELES","WILLOW ELEM",6012140
"LOS ANGELES","CHAPARRAL ELEMENTARY",6012157
"LOS ANGELES","CONDIT ELEM",6012165
"LOS ANGELES","DANBURY (OH)",6012173
"LOS ANGELES","MOUNTAIN VIEW ELEMENTARY",6012181
"LOS ANGELES","OAKMONT ELEMENTARY",6012199
"LOS ANGELES","SUMNER ELEM",6012207
"LOS ANGELES","EMERSON ELEM",6012212
"LOS ANGELES","SYCAMORE ELEM",6012215
"LOS ANGELES","VISTA DEL VALLE ELEMENTARY",6012223
"LOS ANGELES","BURSCH ELEMENTARY",6012231
"LOS ANGELES","CALDWELL STREET ELEM",6012249
"LOS ANGELES","DICKISON ELEM",6012256
"LOS ANGELES","RONALD E MCNAIR ELEMENTARY",6012264
"LOS ANGELES","EMERSON ELEMENTARY",6012272
