"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","MONTEREY","FRANK LEDESMA ELEMENT",106336,81,81,81,81,0,0,2012
"PUBLIC","MONTEREY","FRANK LEDESMA ELEMENT",106336,71,71,70,70,0,0,2015
"PUBLIC","LOS ANGELES","IVY ACADEMIA",106351,100,84,97,97,1,0,2012
"PUBLIC","LOS ANGELES","IVY ACADEMIA",106351,81,68,74,77,0,0,2011
"PUBLIC","LOS ANGELES","IVY ACADEMIA",106351,11,11,11,11,0,0,2007
"PUBLIC","LOS ANGELES","IVY ACADEMIA",106351,69,50,50,53,0,0,2015
"PUBLIC","LOS ANGELES","IVY ACADEMIA",106351,88,57,53,57,1,0,2014
"PUBLIC","SISKIYOU","GOLDEN EAGLE CHARTER",106393,17,1,1,1,0,16,2006
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,72,71,72,71,0,0,2007
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,107,103,101,103,1,0,2015
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,69,68,69,69,0,0,2004
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,99,95,94,94,4,0,2013
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,107,103,103,103,2,0,2014
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,104,99,98,98,4,0,2011
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,69,69,69,69,0,0,2005
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,111,108,108,108,1,0,2009
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,107,102,102,102,5,0,2012
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,99,98,97,98,1,0,2010
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,74,72,72,71,0,0,2006
"PUBLIC","FRESNO","JAMES S FUGMAN ELEMENTARY",106419,99,96,96,96,0,0,2008
"PUBLIC","LOS ANGELES","SYNERGY CHARTER ACADEMY",106427,20,20,20,20,0,0,2008
"PUBLIC","LOS ANGELES","SYNERGY CHARTER ACADEMY",106427,20,20,20,20,0,0,2009
"PUBLIC","LOS ANGELES","SYNERGY CHARTER ACADEMY",106427,52,52,52,52,0,0,2014
"PUBLIC","LOS ANGELES","SYNERGY CHARTER ACADEMY",106427,20,20,20,20,0,0,2006
"PUBLIC","LOS ANGELES","SYNERGY CHARTER ACADEMY",106427,52,51,51,51,0,0,2015
"PUBLIC","LOS ANGELES","SYNERGY CHARTER ACADEMY",106427,20,20,20,20,0,0,2007
"PUBLIC","PLACER","TWELVE BRIDGES ELEMEN",106443,118,112,112,112,6,0,2010
"PUBLIC","PLACER","TWELVE BRIDGES ELEMEN",106443,128,121,121,121,2,2,2013
"PUBLIC","PLACER","TWELVE BRIDGES ELEMEN",106443,124,120,120,120,4,0,2015
"PUBLIC","PLACER","TWELVE BRIDGES ELEMEN",106443,115,112,110,109,3,0,2006
"PUBLIC","PLACER","TWELVE BRIDGES ELEMEN",106443,121,115,115,115,6,0,2009
"PUBLIC","PLACER","TWELVE BRIDGES ELEMEN",106443,114,100,101,101,8,0,2012
"PUBLIC","PLACER","TWELVE BRIDGES ELEMEN",106443,120,113,112,112,4,3,2007
"PUBLIC","PLACER","TWELVE BRIDGES ELEMEN",106443,98,89,89,89,9,0,2011
"PUBLIC","PLACER","TWELVE BRIDGES ELEMEN",106443,115,108,108,108,3,0,2008
"PUBLIC","PLACER","TWELVE BRIDGES ELEMEN",106443,126,125,125,125,1,0,2005
"PUBLIC","PLACER","TWELVE BRIDGES ELEMEN",106443,111,109,108,108,2,0,2014
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,179,171,172,172,2,2,2011
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,90,87,86,86,0,1,2005
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,154,145,144,144,8,0,2014
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,154,145,147,148,2,0,2013
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,158,154,154,154,1,1,2010
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,128,125,125,126,0,1,2006
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,41,35,36,36,0,0,2004
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,119,116,116,116,2,1,2008
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,152,143,141,142,9,0,2012
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,159,155,155,155,2,1,2009
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,120,118,118,118,0,1,2007
"PUBLIC","SACRAMENTO","REGENCY PARK ELEMENTARY",106450,130,122,121,121,7,0,2015
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,115,112,112,112,3,0,2015
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,79,77,76,77,0,0,2005
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,96,91,91,91,0,0,2004
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,92,90,91,90,0,0,2007
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,103,101,101,101,0,0,2006
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,87,81,80,80,0,0,2009
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,108,105,105,105,0,0,2010
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,129,116,116,116,13,0,2012
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,138,138,137,137,0,0,2013
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,96,87,87,95,1,0,2008
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,123,119,120,119,1,0,2011
"PUBLIC","FRESNO","JAMES K POLK ELEMENTARY",106476,157,156,157,156,0,0,2014
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,76,68,68,68,1,1,2015
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,65,65,65,65,0,0,2005
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,83,82,81,80,1,0,2007
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,72,64,58,59,1,0,2011
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,37,37,37,37,0,0,2004
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,71,67,64,64,1,0,2013
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,87,80,80,79,2,0,2009
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,90,85,86,81,0,0,2010
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,95,92,81,78,1,1,2012
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,61,60,59,58,0,0,2014
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,97,85,83,81,0,1,2006
"PUBLIC","SAN JOAQUIN","WICKLUND ELEMENTARY",106484,103,95,99,100,1,0,2008
"PUBLIC","SANTA CLARA","BULLIS CHARTER",106534,56,53,53,53,3,0,2008
"PUBLIC","SANTA CLARA","BULLIS CHARTER",106534,40,39,39,39,1,0,2006
"PUBLIC","SANTA CLARA","BULLIS CHARTER",106534,57,52,53,53,3,1,2009
"PUBLIC","SANTA CLARA","BULLIS CHARTER",106534,60,59,59,59,1,0,2012
"PUBLIC","SANTA CLARA","BULLIS CHARTER",106534,60,57,57,57,3,0,2010
"PUBLIC","SANTA CLARA","BULLIS CHARTER",106534,101,99,99,99,2,0,2014
"PUBLIC","SANTA CLARA","BULLIS CHARTER",106534,60,60,59,58,0,0,2011
"PUBLIC","SANTA CLARA","BULLIS CHARTER",106534,80,77,77,77,3,0,2013
"PUBLIC","SANTA CLARA","BULLIS CHARTER",106534,54,50,50,50,4,0,2007
"PUBLIC","SANTA CLARA","BULLIS CHARTER",106534,102,99,99,99,3,0,2015
"PUBLIC","KERN","HARVEST ELEMENTARY",106575,72,71,71,71,0,1,2015
"PUBLIC","KERN","HARVEST ELEMENTARY",106575,69,69,69,69,0,0,2014
"PUBLIC","KERN","HARVEST ELEMENTARY",106575,94,67,67,68,2,1,2011
"PUBLIC","KERN","HARVEST ELEMENTARY",106575,102,100,101,101,0,0,2012
"PUBLIC","KERN","HARVEST ELEMENTARY",106575,96,79,79,79,0,0,2009
"PUBLIC","KERN","HARVEST ELEMENTARY",106575,88,67,66,67,0,0,2010
"PUBLIC","KERN","HARVEST ELEMENTARY",106575,76,76,76,76,0,0,2006
"PUBLIC","KERN","HARVEST ELEMENTARY",106575,106,53,52,52,0,0,2008
"PUBLIC","KERN","HARVEST ELEMENTARY",106575,71,69,69,69,0,0,2013
"PUBLIC","KERN","HARVEST ELEMENTARY",106575,105,104,103,104,1,0,2007
"PUBLIC","CONTRA COSTA","CARMEN DRAGON ELEMENTARY",106583,76,72,71,72,3,1,2009
"PUBLIC","CONTRA COSTA","CARMEN DRAGON ELEMENTARY",106583,99,97,98,98,0,0,2008
"PUBLIC","CONTRA COSTA","CARMEN DRAGON ELEMENTARY",106583,80,77,77,78,1,0,2011
"PUBLIC","CONTRA COSTA","CARMEN DRAGON ELEMENTARY",106583,134,123,123,125,0,1,2015
"PUBLIC","CONTRA COSTA","CARMEN DRAGON ELEMENTARY",106583,119,111,110,113,2,0,2013
"PUBLIC","CONTRA COSTA","CARMEN DRAGON ELEMENTARY",106583,95,94,94,94,1,0,2006
"PUBLIC","CONTRA COSTA","CARMEN DRAGON ELEMENTARY",106583,89,87,87,87,1,0,2010
"PUBLIC","CONTRA COSTA","CARMEN DRAGON ELEMENTARY",106583,93,87,89,87,0,0,2012
"PUBLIC","CONTRA COSTA","CARMEN DRAGON ELEMENTARY",106583,100,99,98,99,0,0,2007
"PUBLIC","CONTRA COSTA","CARMEN DRAGON ELEMENTARY",106583,138,127,128,130,4,0,2014
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,138,136,134,136,0,0,2008
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,140,138,138,138,2,0,2006
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,157,154,152,153,0,1,2010
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,152,148,148,147,2,0,2007
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,196,190,192,192,4,0,2012
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,130,126,127,128,1,1,2015
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,104,103,104,104,0,0,2004
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,137,130,132,133,1,0,2013
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,129,127,126,127,2,0,2005
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,132,122,126,125,3,0,2009
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,169,163,160,162,3,1,2011
"PUBLIC","SAN BERNARDINO","CHALLENGER SCHOOL OF",106641,152,147,147,147,2,3,2014
"PUBLIC","KERN","SHIRLEY LANE ELEMENTARY",106690,120,114,113,114,0,0,2015
"PUBLIC","KERN","SHIRLEY LANE ELEMENTARY",106690,90,83,83,84,1,0,2014
"PUBLIC","MERCED","NEWCOMER LANGUAGE ACA",106724,26,26,7,20,0,0,2005
"PUBLIC","FRESNO","VALLEY PREPARATORY ACADEMY CHARTER",106740,61,57,57,57,4,0,2014
"PUBLIC","FRESNO","VALLEY PREPARATORY ACADEMY CHARTER",106740,48,40,39,40,7,0,2013
"PUBLIC","FRESNO","VALLEY PREPARATORY ACADEMY CHARTER",106740,52,48,39,39,2,0,2011
"PUBLIC","FRESNO","VALLEY PREPARATORY ACADEMY CHARTER",106740,50,48,46,47,2,0,2012
"PUBLIC","FRESNO","VALLEY PREPARATORY ACADEMY CHARTER",106740,19,19,19,19,0,0,2008
"PUBLIC","FRESNO","VALLEY PREPARATORY ACADEMY CHARTER",106740,31,29,27,27,0,0,2009
"PUBLIC","FRESNO","VALLEY PREPARATORY ACADEMY CHARTER",106740,21,18,18,18,1,0,2007
"PUBLIC","FRESNO","VALLEY PREPARATORY ACADEMY CHARTER",106740,46,42,41,42,1,0,2010
"PUBLIC","FRESNO","VALLEY PREPARATORY ACADEMY CHARTER",106740,15,12,10,10,2,0,2006
"PUBLIC","FRESNO","VALLEY PREPARATORY ACADEMY CHARTER",106740,57,54,54,54,3,0,2015
"PUBLIC","SACRAMENTO","FOLSOM CORDOVA K - 8 COMMUNITY CHARTER",106757,15,10,12,12,1,0,2015
"PUBLIC","SACRAMENTO","FOLSOM CORDOVA K - 8 COMMUNITY CHARTER",106757,10,9,9,9,1,0,2013
"PUBLIC","SACRAMENTO","FOLSOM CORDOVA K - 8 COMMUNITY CHARTER",106757,10,9,9,9,1,0,2014
"PUBLIC","SACRAMENTO","FOLSOM CORDOVA K - 8 COMMUNITY CHARTER",106757,15,9,7,7,3,0,2010
"PUBLIC","ORANGE","CAPISTRANO CONNECTIONS ACADEMY",106765,92,71,71,71,17,0,2014
"PUBLIC","ORANGE","CAPISTRANO CONNECTIONS ACADEMY",106765,56,42,43,43,8,0,2008
"PUBLIC","ORANGE","CAPISTRANO CONNECTIONS ACADEMY",106765,46,35,35,36,7,0,2009
"PUBLIC","ORANGE","CAPISTRANO CONNECTIONS ACADEMY",106765,52,39,40,38,6,0,2006
"PUBLIC","ORANGE","CAPISTRANO CONNECTIONS ACADEMY",106765,68,48,45,46,9,0,2010
"PUBLIC","ORANGE","CAPISTRANO CONNECTIONS ACADEMY",106765,81,62,62,62,18,1,2012
"PUBLIC","ORANGE","CAPISTRANO CONNECTIONS ACADEMY",106765,82,55,52,54,27,0,2013
"PUBLIC","ORANGE","CAPISTRANO CONNECTIONS ACADEMY",106765,54,39,39,38,13,0,2011
"PUBLIC","ORANGE","CAPISTRANO CONNECTIONS ACADEMY",106765,38,24,23,25,6,0,2007
"PUBLIC","ORANGE","CAPISTRANO CONNECTIONS ACADEMY",106765,94,80,80,80,12,1,2015
"PUBLIC","SAN DIEGO","LEARNING CHOICE ACADE",106799,56,35,34,35,17,0,2015
"PUBLIC","SAN DIEGO","LEARNING CHOICE ACADE",106799,56,33,27,25,15,0,2012
"PUBLIC","SAN DIEGO","LEARNING CHOICE ACADE",106799,70,43,46,36,17,2,2014
"PUBLIC","SAN DIEGO","LEARNING CHOICE ACADE",106799,39,29,27,26,6,0,2008
"PUBLIC","SAN DIEGO","LEARNING CHOICE ACADE",106799,67,47,46,49,16,0,2011
"PUBLIC","SAN DIEGO","LEARNING CHOICE ACADE",106799,46,15,16,15,14,0,2007
"PUBLIC","SAN DIEGO","LEARNING CHOICE ACADE",106799,44,22,26,22,7,0,2006
"PUBLIC","SAN DIEGO","LEARNING CHOICE ACADE",106799,62,38,37,34,11,11,2013
"PUBLIC","SAN DIEGO","LEARNING CHOICE ACADE",106799,51,26,29,33,15,1,2010
"PUBLIC","SAN DIEGO","LEARNING CHOICE ACADE",106799,47,36,36,36,9,0,2009
"PUBLIC","FRESNO","THOMAS LAW REED ELEMENTARY",106815,60,60,59,60,0,0,2008
"PUBLIC","FRESNO","THOMAS LAW REED ELEMENTARY",106815,60,60,60,60,0,0,2006
"PUBLIC","FRESNO","THOMAS LAW REED ELEMENTARY",106815,54,54,54,54,0,0,2012
"PUBLIC","FRESNO","THOMAS LAW REED ELEMENTARY",106815,77,76,76,76,0,0,2014
"PUBLIC","FRESNO","THOMAS LAW REED ELEMENTARY",106815,77,77,77,77,0,0,2013
"PUBLIC","FRESNO","THOMAS LAW REED ELEMENTARY",106815,52,52,52,52,0,0,2011
"PUBLIC","FRESNO","THOMAS LAW REED ELEMENTARY",106815,80,80,80,80,0,0,2007
"PUBLIC","FRESNO","THOMAS LAW REED ELEMENTARY",106815,67,66,66,66,1,0,2009
"PUBLIC","FRESNO","THOMAS LAW REED ELEMENTARY",106815,72,71,71,71,0,1,2010
"PUBLIC","FRESNO","THOMAS LAW REED ELEMENTARY",106815,78,78,78,78,0,0,2015
"PUBLIC","LOS ANGELES","JARDIN DE LA INFANCIA",106880,19,18,19,19,0,0,2015
"PUBLIC","LOS ANGELES","JARDIN DE LA INFANCIA",106880,16,16,16,16,0,0,2007
"PUBLIC","LOS ANGELES","JARDIN DE LA INFANCIA",106880,22,21,21,22,0,0,2014
"PUBLIC","LOS ANGELES","JARDIN DE LA INFANCIA",106880,31,27,27,28,0,0,2012
"PUBLIC","SACRAMENTO","LANGUAGE ACADEMY OF SACRAMENTO",106898,66,64,64,64,0,2,2013
"PUBLIC","SACRAMENTO","LANGUAGE ACADEMY OF SACRAMENTO",106898,66,66,66,66,0,0,2011
"PUBLIC","SACRAMENTO","LANGUAGE ACADEMY OF SACRAMENTO",106898,44,43,42,41,0,0,2009
"PUBLIC","SACRAMENTO","LANGUAGE ACADEMY OF SACRAMENTO",106898,83,82,82,82,0,0,2014
"PUBLIC","SACRAMENTO","LANGUAGE ACADEMY OF SACRAMENTO",106898,66,65,65,65,0,1,2012
"PUBLIC","SACRAMENTO","LANGUAGE ACADEMY OF SACRAMENTO",106898,66,64,64,64,2,0,2015
"PUBLIC","LOS ANGELES","BELLINGHAM ELEMENTARY",106914,186,181,181,181,1,0,2010
"PUBLIC","LOS ANGELES","BELLINGHAM ELEMENTARY",106914,187,181,181,181,0,0,2008
"PUBLIC","LOS ANGELES","BELLINGHAM ELEMENTARY",106914,128,125,124,124,3,0,2013
"PUBLIC","LOS ANGELES","BELLINGHAM ELEMENTARY",106914,124,122,121,121,1,0,2014
"PUBLIC","LOS ANGELES","BELLINGHAM ELEMENTARY",106914,188,184,183,185,0,0,2007
"PUBLIC","LOS ANGELES","BELLINGHAM ELEMENTARY",106914,113,111,112,110,0,0,2015
"PUBLIC","LOS ANGELES","BELLINGHAM ELEMENTARY",106914,203,201,200,201,0,0,2006
"PUBLIC","LOS ANGELES","BELLINGHAM ELEMENTARY",106914,192,184,186,187,0,0,2004
"PUBLIC","LOS ANGELES","BELLINGHAM ELEMENTARY",106914,134,130,129,130,0,0,2012
"PUBLIC","LOS ANGELES","BELLINGHAM ELEMENTARY",106914,161,160,161,161,0,0,2011
"PUBLIC","LOS ANGELES","MAPLE PRIMARY CENTER",106922,101,87,83,81,0,0,2008
"PUBLIC","LOS ANGELES","MAPLE PRIMARY CENTER",106922,104,99,98,98,0,0,2013
"PUBLIC","LOS ANGELES","MAPLE PRIMARY CENTER",106922,107,107,107,107,0,0,2007
"PUBLIC","LOS ANGELES","MAPLE PRIMARY CENTER",106922,114,114,112,114,0,0,2014
"PUBLIC","LOS ANGELES","MAPLE PRIMARY CENTER",106922,128,127,127,127,0,0,2005
"PUBLIC","LOS ANGELES","MAPLE PRIMARY CENTER",106922,122,107,107,107,0,0,2012
"PUBLIC","LOS ANGELES","MAPLE PRIMARY CENTER",106922,118,94,96,91,0,0,2010
"PUBLIC","LOS ANGELES","MAPLE PRIMARY CENTER",106922,118,103,103,106,0,0,2011
"PUBLIC","LOS ANGELES","MAPLE PRIMARY CENTER",106922,118,111,101,106,0,0,2009
"PUBLIC","LOS ANGELES","MAPLE PRIMARY CENTER",106922,205,196,195,195,0,0,2004
"PUBLIC","LOS ANGELES","MAPLE PRIMARY CENTER",106922,118,87,83,84,1,0,2015
"PUBLIC","LOS ANGELES","STANFORD PRIMARY CENTER",106930,170,45,45,46,0,0,2015
"PUBLIC","LOS ANGELES","STANFORD PRIMARY CENTER",106930,111,59,62,59,0,0,2010
"PUBLIC","LOS ANGELES","STANFORD PRIMARY CENTER",106930,182,141,145,149,0,0,2011
"PUBLIC","LOS ANGELES","STANFORD PRIMARY CENTER",106930,165,142,143,143,0,0,2014
"PUBLIC","LOS ANGELES","STANFORD PRIMARY CENTER",106930,156,153,152,151,0,0,2012
"PUBLIC","LOS ANGELES","STANFORD PRIMARY CENTER",106930,159,118,134,139,0,0,2013
"PUBLIC","LOS ANGELES","STANFORD PRIMARY CENTER",106930,187,179,185,184,0,1,2006
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,109,109,109,109,0,0,2012
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,120,114,113,115,0,0,2008
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,134,122,116,117,0,0,2009
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,165,151,149,151,0,0,2004
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,136,105,105,107,0,0,2015
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,142,127,126,128,0,0,2011
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,150,150,149,150,0,0,2006
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,116,94,90,90,0,0,2014
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,123,110,83,90,0,0,2013
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,166,162,163,163,0,0,2007
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,159,135,136,142,0,0,2005
"PUBLIC","LOS ANGELES","HARMONY ELEM",106955,142,127,128,122,0,0,2010
"PUBLIC","STANISLAUS","WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY",107128,44,42,42,42,2,0,2012
"PUBLIC","STANISLAUS","WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY",107128,40,37,37,37,3,0,2009
"PUBLIC","STANISLAUS","WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY",107128,44,38,38,38,6,0,2014
"PUBLIC","STANISLAUS","WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY",107128,44,43,44,44,0,0,2011
"PUBLIC","STANISLAUS","WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY",107128,40,39,39,39,1,0,2007
"PUBLIC","STANISLAUS","WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY",107128,40,40,39,39,0,0,2006
"PUBLIC","STANISLAUS","WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY",107128,44,43,43,43,1,0,2015
"PUBLIC","STANISLAUS","WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY",107128,44,43,41,42,1,0,2013
"PUBLIC","STANISLAUS","WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY",107128,44,40,40,40,4,0,2010
"PUBLIC","EL DORADO","CHARTER MONTESSORI BLUE OAK CAMPUS",107227,46,40,40,40,6,0,2015
"PUBLIC","EL DORADO","CHARTER MONTESSORI BLUE OAK CAMPUS",107227,36,34,34,34,1,0,2009
"PUBLIC","EL DORADO","CHARTER MONTESSORI BLUE OAK CAMPUS",107227,47,43,43,43,2,0,2010
"PUBLIC","EL DORADO","CHARTER MONTESSORI BLUE OAK CAMPUS",107227,44,39,39,38,5,0,2013
"PUBLIC","EL DORADO","CHARTER MONTESSORI BLUE OAK CAMPUS",107227,45,36,36,36,7,0,2011
"PUBLIC","EL DORADO","CHARTER MONTESSORI BLUE OAK CAMPUS",107227,60,46,46,46,11,0,2012
"PUBLIC","EL DORADO","CHARTER MONTESSORI BLUE OAK CAMPUS",107227,46,37,37,36,9,0,2014
"PUBLIC","EL DORADO","CHARTER MONTESSORI BLUE OAK CAMPUS",107227,20,19,19,19,1,0,2007
"PUBLIC","EL DORADO","CHARTER MONTESSORI BLUE OAK CAMPUS",107227,29,26,26,26,3,0,2008
"PUBLIC","EL DORADO","CHARTER MONTESSORI BLUE OAK CAMPUS",107227,27,24,24,24,3,0,2006
"PUBLIC","SONOMA","CALIFORNIA VIRTUAL ACADEMY @ SONOMA",107284,60,35,34,34,20,0,2009
"PUBLIC","SONOMA","CALIFORNIA VIRTUAL ACADEMY @ SONOMA",107284,48,26,26,26,22,0,2010
"PUBLIC","SONOMA","CALIFORNIA VIRTUAL ACADEMY @ SONOMA",107284,29,15,15,15,14,0,2013
"PUBLIC","SONOMA","CALIFORNIA VIRTUAL ACADEMY @ SONOMA",107284,45,25,24,25,19,0,2008
"PUBLIC","SONOMA","CALIFORNIA VIRTUAL ACADEMY @ SONOMA",107284,43,25,25,25,18,0,2012
"PUBLIC","SONOMA","CALIFORNIA VIRTUAL ACADEMY @ SONOMA",107284,45,34,33,33,4,0,2007
"PUBLIC","SONOMA","CALIFORNIA VIRTUAL ACADEMY @ SONOMA",107284,32,24,23,23,7,0,2006
"PUBLIC","SONOMA","CALIFORNIA VIRTUAL ACADEMY @ SONOMA",107284,50,32,32,32,18,0,2011
"PUBLIC","SONOMA","CALIFORNIA VIRTUAL ACADEMY @ SONOMA",107284,29,23,22,25,3,0,2014
"PUBLIC","SONOMA","CALIFORNIA VIRTUAL ACADEMY @ SONOMA",107284,16,11,11,11,5,0,2015
"PUBLIC","MONTEREY","KING CITY ARTS MAGNET",107292,79,79,79,79,0,0,2015
"PUBLIC","MONTEREY","KING CITY ARTS MAGNET",107292,52,52,52,52,0,0,2010
"PUBLIC","MONTEREY","KING CITY ARTS MAGNET",107292,82,81,81,81,0,1,2014
"PUBLIC","MONTEREY","KING CITY ARTS MAGNET",107292,53,53,53,53,0,0,2011
"PUBLIC","MONTEREY","KING CITY ARTS MAGNET",107292,76,76,76,76,0,0,2013
"PUBLIC","MONTEREY","KING CITY ARTS MAGNET",107292,41,40,40,40,0,0,2008
"PUBLIC","MONTEREY","KING CITY ARTS MAGNET",107292,60,57,57,58,2,0,2012
"PUBLIC","MONTEREY","KING CITY ARTS MAGNET",107292,15,15,15,15,0,0,2005
"PUBLIC","MONTEREY","KING CITY ARTS MAGNET",107292,37,35,35,35,2,0,2006
"PUBLIC","MONTEREY","KING CITY ARTS MAGNET",107292,40,40,40,40,0,0,2007
"PUBLIC","MONTEREY","KING CITY ARTS MAGNET",107292,38,37,36,37,1,0,2009
"PUBLIC","SUTTER","TWIN RIVERS CHARTER",107318,42,40,40,39,0,0,2009
"PUBLIC","SUTTER","TWIN RIVERS CHARTER",107318,43,40,41,42,0,0,2008
"PUBLIC","SUTTER","TWIN RIVERS CHARTER",107318,43,39,39,39,4,0,2013
"PUBLIC","SUTTER","TWIN RIVERS CHARTER",107318,42,40,41,40,0,0,2010
"PUBLIC","SUTTER","TWIN RIVERS CHARTER",107318,42,40,40,40,0,1,2006
"PUBLIC","SUTTER","TWIN RIVERS CHARTER",107318,56,54,54,54,2,0,2015
"PUBLIC","SUTTER","TWIN RIVERS CHARTER",107318,41,38,38,38,1,0,2011
"PUBLIC","SUTTER","TWIN RIVERS CHARTER",107318,35,32,33,33,0,0,2007
"PUBLIC","SUTTER","TWIN RIVERS CHARTER",107318,42,39,39,39,0,3,2014
"PUBLIC","SUTTER","TWIN RIVERS CHARTER",107318,40,39,40,40,0,0,2012
"PUBLIC","CONTRA COSTA","COUNTY OFFICE OF EDUC",107334,10,7,7,7,2,0,2009
"PUBLIC","CONTRA COSTA","COUNTY OFFICE OF EDUC",107334,18,15,15,15,3,0,2007
"PUBLIC","CONTRA COSTA","EAST COUNTY ELEMENTAR",107342,10,6,6,6,1,1,2008
"PUBLIC","CONTRA COSTA","EAST COUNTY ELEMENTAR",107342,10,10,10,10,0,0,2007
"PUBLIC","RIVERSIDE","HAMILTON ELEMENTARY",107359,44,38,37,38,4,0,2012
