"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,122,91,96,101,0,0,2006
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,125,124,124,124,1,0,2010
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,116,108,108,108,7,0,2009
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,109,90,90,90,19,0,2013
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,108,104,105,105,3,0,2014
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,109,99,99,99,10,0,2004
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,123,117,117,117,6,0,2012
"PUBLIC","EL DORADO","OAK MEADOW ELEMENTARY",100024,119,111,111,111,8,0,2015
"PUBLIC","TUOLUMNE","CALIFORNIA VIRTUAL AC",100099,16,11,11,11,5,0,2010
"PUBLIC","TUOLUMNE","CALIFORNIA VIRTUAL AC",100099,15,7,7,10,1,0,2005
"PUBLIC","TUOLUMNE","CALIFORNIA VIRTUAL AC",100099,11,7,8,8,2,0,2007
"PUBLIC","TUOLUMNE","CALIFORNIA VIRTUAL AC",100099,15,7,7,7,8,0,2009
"PUBLIC","TUOLUMNE","CALIFORNIA VIRTUAL AC",100099,10,5,5,5,5,0,2008
"PUBLIC","TUOLUMNE","CALIFORNIA VIRTUAL AC",100099,14,8,8,8,6,0,2011
"PUBLIC","TUOLUMNE","CALIFORNIA VIRTUAL AC",100099,14,9,9,8,0,0,2006
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,69,67,67,68,0,0,2015
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,95,94,94,95,0,0,2013
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,73,71,71,71,0,1,2005
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,54,54,54,54,0,0,2011
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,61,59,61,61,0,0,2007
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,77,76,76,76,1,0,2014
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,78,76,77,77,1,0,2008
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,60,58,57,58,1,0,2010
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,77,76,75,76,0,0,2012
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,77,75,74,74,1,0,2009
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,70,70,70,70,0,0,2006
