longitude,latitude,school_code,countyMatch,isSchool
-117.5174243,33.8883814,7096092,1,1
-116.977103,33.73439,6911432,1,1
-117.5552713,33.8518856,6917629,1,1
-116.3708289,33.7592326,6976823,1,1
-116.5279479,33.8126284,7011612,1,1
-114.5888081,33.6180873,6145890,1,1
-116.5267468,33.845854,6959431,1,1
-117.0955,33.483089,6202964,1,1
-117.387969,33.9757419,7054315,1,0
-117.3803087,33.97928,7029325,1,0
-117.2871482,33.6200247,7084460,1,1
-117.1917356,33.6856188,7089196,1,1
-116.2523785,33.697887,7099468,1,1
-117.5860863,33.8492752,6140230,1,1
-117.5718946,33.8752343,6907570,1,1
-117.3988272,33.9613197,6923098,1,1
-117.4353988,33.9467286,6918940,1,1
-117.4355398,33.946319,6200372,1,0
-117.3481288,33.9294029,6926877,1,1
-117.4521975,33.9468381,233502,1,1
-117.1422347,33.4884328,6917660,1,1
0,0,33501,0,0
-117.359873,33.9516617,6965461,1,1
-116.298306,33.753539,7084254,1,1
-117.3346535,33.9784038,7057482,1,1
-116.37,33.72,7083413,1,1
-83.143854,39.950986,533506,0,1
-117.549115,33.905669,9033506,1,1
-117.3280267,33.9084997,533509,1,1
-115.083641,36.042192,7080385,0,1
-115.083641,36.042192,7080567,0,1
-115.083641,36.042192,533502,0,1
-115.083641,36.042192,533505,0,1
-115.083641,36.042192,533501,0,1
-115.083641,36.042192,7081698,0,1
-117.3344411,33.8838128,7086697,1,1
-117.4840469,33.9110594,7083231,1,1
-117.4840469,33.9110594,533507,1,1
-117.4840469,33.9110594,533508,1,1
-117.4956173,33.9175925,6937809,1,1
-81.948252,28.126023,7079957,0,0
-117.219975,33.565835,7087810,1,1
-117.4730966,33.9296676,6999114,1,1
-117.4022694,34.0017589,6201867,1,1
-117.256745,33.761932,7104979,1,1
-117.1100603,33.5015899,6937825,1,1
-117.4216698,33.9339261,7082159,1,1
-84.2614418,30.4340734,6132492,0,1
-116.442937,33.790603,6976856,1,1
-116.442937,33.790603,6917967,1,1
-117.02535,34.002473,6975254,0,1
-117.4712953,33.9147969,7083116,1,1
-117.4712953,33.9147969,7103583,1,1
-117.382135,33.95628,6900187,1,1
-117.398028,33.939248,7092893,1,1
-117.4652111,33.9098799,7009772,1,1
-117.4712953,33.9147969,7082944,1,1
-117.4712953,33.9147969,7015852,1,1
-117.4712953,33.9147969,6924195,1,1
-117.2258347,33.9213837,6927677,1,0
-116.5847722,34.0532844,6138655,0,1
-117.4177728,33.9598026,7103567,1,1
-116.9734538,33.7953471,9833501,1,0
-117.3648541,33.9866549,6132567,1,0
-117.37304,33.9758991,7082233,1,1
0,0,7103559,0,0
-117.37304,33.9758991,7095490,1,1
-117.4800485,33.9755697,6927057,1,0
-117.2335237,33.7980854,7104490,1,1
-117.5241955,33.835663,7094279,1,1
0,0,7026602,0,0
-117.4180705,33.9529261,6976831,1,0
-117.4180705,33.9529261,6976849,1,0
-116.3971649,33.7050553,333501,1,1
-116.305398,33.738719,6917959,1,1
-116.9351764,33.9329975,7098817,1,1
0,0,6133215,0,0
-116.879305,33.9290417,6966048,1,1
-117.4353988,33.9467286,7072309,1,1
-117.4780634,33.9253014,6976880,1,0
-117.1145958,33.4784982,6924344,1,1
0,0,6119788,0,0
-117.150595,33.6425922,6203467,1,1
-117.324398,34.000762,6901938,1,0
-117.392118,33.94521,6978209,1,1
-117.392118,33.94521,6937908,1,1
-117.4869335,33.8899818,6976906,1,1
-117.398028,33.939248,6988299,1,1
-117.5019453,34.0143391,6959548,1,1
-117.3976868,33.9458343,6976922,1,1
-117.0896425,33.5172204,7098809,1,1
-117.4395024,33.92412,6976997,1,1
-116.9766419,33.7827739,6114748,1,1
-117.225269,33.9516599,1133501,1,1
-117.1141477,33.47851,6930077,1,1
-117.5716521,33.8768016,6976930,1,1
-117.37304,33.9758991,6976948,1,1
-116.9644049,33.7808401,6976955,1,1
-117.2320152,33.7836323,6976963,1,1
-83.0693731,34.765111,6930085,0,1
-116.3979581,33.7034963,7085095,1,1
-116.5163773,33.8169997,6976989,1,0
-116.9618653,33.7729474,6133268,1,1
-117.228644,33.920588,9033512,1,1
0,0,9733501,0,0
-117.369162,33.9542519,7083280,1,1
-117.2256436,33.7929604,6999130,1,1
